ID,Hierarchy,Status,Name,Slug,Parent,Count,Description,Taxonomy,Full hierarchy,Old Platform ID,view,Use For,Required?
1042,0,active,Burlington County Real Estate,burlington-county-real-estate,,1,,category,Burlington County Real Estate,,https://mikesellsnj.com/category/burlington-county-real-estate/,,
1031,0,active,Camden County Real Estate,camden-county-real-estate,,2,,category,Camden County Real Estate,,https://mikesellsnj.com/category/camden-county-real-estate/,,
1036,0,active,Cumberland County Real Estate,cumberland-county-real-estate,,2,,category,Cumberland County Real Estate,,https://mikesellsnj.com/category/cumberland-county-real-estate/,,
881,0,active,For Buyers,for-buyers,,424,,category,For Buyers,,https://mikesellsnj.com/category/for-buyers/,,
882,0,active,For Sellers,for-sellers,,293,,category,For Sellers,,https://mikesellsnj.com/category/for-sellers/,,
1038,0,active,Gloucester County Real Estate,gloucester-county-real-estate,,2,,category,Gloucester County Real Estate,,https://mikesellsnj.com/category/gloucester-county-real-estate/,,
884,0,active,Housing Market Updates,housing-market-updates,,277,,category,Housing Market Updates,,https://mikesellsnj.com/category/housing-market-updates/,,
1039,0,active,Salem County Real Estate,salem-county-real-estate,,2,,category,Salem County Real Estate,,https://mikesellsnj.com/category/salem-county-real-estate/,,
1,0,active,Uncategorized,uncategorized,,172,,category,Uncategorized,,https://mikesellsnj.com/category/uncategorized/,,
